samples=4800 samples2=8192
-0.025846666
-0.09739908
-0.1686114
-0.23826928
-0.30515894
-0.36809075
-0.42592326
-0.47758687
-0.52210516
-0.55861694
-0.58639455
-0.60485935
-0.61359674
-0.61236566
-0.6011054
-0.5799393
-0.5491743
-0.5092964
-0.46096358
-0.40499344
-0.3423491
-0.27412072
-0.20150596
-0.1257857
-0.04830047
0.029575927
0.10646329
0.18100207
0.2518796
0.3178559
0.37778825
0.43065253
0.4755642
0.51179403
0.5387824
0.55614895
0.5636995
0.56142807
0.5495161
0.52832663
0.49839583
0.46042
0.41524097
0.36382616
0.3072485
0.24666359
0.18328413
0.11835535
0.053129174
-0.011162006
-0.07332974
-0.13225353
-0.18690251
-0.23635545
-0.27981752
-0.3166348
-0.3463047
-0.36848363
-0.38299105
-0.38980895
-0.38908
-0.381099
-0.36630434
-0.34526443
-0.31866202
-0.2872764
-0.25196394
-0.21363716
-0.17324239
-0.13173783
-0.09007176
-0.049161088
-0.009871071
0.027003035
0.060752463
0.09076935
0.11655778
0.13774258
0.15407513
0.1654352
0.17183074
0.17339358
0.17037316
0.16312677
0.15210788
0.13785186
0.12096035
0.10208421
0.08190506
0.061117165
0.04040898
0.020444874
0.0018479528
-0.01481559
-0.02905069
-0.04044569
-0.048681777
-0.0535407
-0.054909486
-0.052782074
-0.047258288
-0.03854076
-0.02692822
-0.012806896
0.0033601916
0.0210464
0.03967528
0.05863714
0.07730443
0.09504981
0.1112617
0.12536179
0.13682005
0.14516921
0.1500181
0.15106149
0.14808993
0.14099555
0.12977614
0.1145365
0.0954871
0.07293999
0.047302485
0.01906856
-0.011192376
-0.042848077
-0.0752178
-0.10758826
-0.13922913
-0.1694111
-0.19742176
-0.22258285
-0.24426648
-0.26190892
-0.27502492
-0.2832191
-0.2861955
-0.28376532
-0.2758516
-0.2624922
-0.24383973
-0.22015887
-0.19182175
-0.15930074
-0.123158164
-0.08403638
-0.042642776
0.00026287496
0.043884955
0.08740815
0.13001412
0.17089768
0.20928347
0.24444135
0.2757006
0.30246347
0.32421654
0.34054044
0.35111734
0.35573712
0.3542999
0.3468177
0.3334131
0.31431594
0.28985783
0.26046485
0.2266486
0.18899572
0.1481555
0.10482833
0.059751023
0.013683323
-0.03260564
-0.078351535
-0.122808516
-0.16526088
-0.20503649
-0.24151525
-0.27414072
-0.3024263
-0.32596254
-0.3444218
-0.3575614
-0.36522555
-0.36734492
-0.36393592
-0.35509774
-0.34100825
-0.32191887
-0.29814938
-0.27008003
-0.23814517
-0.20282479
-0.16463691
-0.1241293
-0.08187153
-0.038446866
0.005555338
0.04954649
0.092946544
0.13518918
0.17572823
0.21404307
0.24964273
0.2820708
0.3109089
0.33578008
0.35635123
0.37233672
0.38349968
0.38965455
0.3906688
0.3864645
0.37701994
0.36237034
0.34260935
0.31789017
0.28842458
0.25448495
0.21640243
0.17456678
0.12942496
0.081479095
0.031283267
-0.020559762
-0.073403426
-0.12656277
-0.17932113
-0.23093763
-0.28065577
-0.32771245
-0.3713499
-0.4108246
-0.44542068
-0.47446227
-0.49732465
-0.5134479
-0.5223498
-0.523636
-0.51701283
-0.5022972
-0.47942472
-0.44845754
-0.40959015
-0.3631527
-0.30961177
-0.24956942
-0.18375912
-0.113040105
-0.038387377
0.03911979
0.11831202
0.19794665
0.27672613
0.35331997
0.42638582
0.4945937
0.55665076
0.61132467
0.65747017
0.6940511
0.72016484
0.73506236
0.73816806
0.7290951
0.7076602
0.67389244
0.62804025
0.5705729
0.5021797
0.4237622
0.33642522
0.24146135
0.14033237
0.034646243
-0.073867984
